name,Affiliation,Citations
weixin liang,Stanford Univerisity,10
tetiana parshakova,Stanford University,8
vin sachidananda,"PhD student, Stanford University ",8
rewa sood,"PhD Candidate, Stanford University ",3
curtis p. langlotz,"Professor and Associate Chair for Information Systems, Department of Radiology, Stanford … ",7877
christopher d. manning,"Professor of Computer Science and Linguistics, Stanford University ",134218
dan jurafsky,"Professor of Linguistics and Computer Science, Stanford University ",45287
ethan a. chi,"MS Candidate, Stanford University ",11
fatma nasoz,"University of Nevada, Las Vegas ",1625
benjamin d. horne,"Assistant Professor, School of Information Sciences, University of Tennessee ",373
pengfei yin,Sichuan Agricultural University,86
aram galstyan,"University of Southern California, Information Sciences Institute ",5193
fred morstatter,"University of Southern California, Information Sciences Institute ",3317
sarik ghazarian,University of Southern California / Information Sciences Institute,84
elena alvarez-mellado,"Information Sciences Institute, University of Southern California ",14
elena álvarez-mellado,"Information Sciences Institute, University of Southern California ",14
qinyuan ye,University of Southern California / Information Science Institute,7
nanyun peng,"Information Sciences Institute, University of Southern Califormia ",1139
maria wolters,"Reader in Design Informatics, University of Edinburgh ",1528
julien fauqueur,Benevolent.ai,2019
theodosia togia,BenevolentAI,23
ashok thillaisundaram,BenevolentAI,4
blaine cole,University of Houston,3523
mohammad amin alipour,University of Houston,607
avisha das,"Ph.D. Candidate, University of Houston ",56
niloofar safi samghabadi,"Teaching/Research Assistant, University of Houston ",33
mohammed emtiaz ahmed,University of Houston,7
farah naz chowdhury,University of Houston,2
eric laporte,Université Paris-Est Marne-la-Vallée,829
ewan dunbar,Université Paris Diderot,442
ivan lerner,Université de Paris,16
aixiu an,Université de Paris,8
xiaojun wan,Peking University,5639
sujian li,Peking Univ.,4528
houfeng wang,Peking University,2879
xuanzhe liu,Peking University,2468
zhenchuan yang,Pkeing University,1533
yunfang wu,Peking University,808
yiping song,Student at Peking University,567
junyuan shang,Peking University,112
qiaolin xia,Peking University,84
mingyue shang,Peking University,66
bingzhen wei,Peking University,65
xiuying chen,Peking University,54
zequn liu,Peking University,16
yanlin feng,Peking University,5
jiazhan feng,Peking University,4
yaxian xia,Peking University,3
lianzhe huang,"Instutite of Computational Linguistics, Peking Univerisity ",3
junlong gao,Peking University,2
yinuo guo,Peking University,2
hongzheng li,Beijing Institute of Technology,23
yi-kun tang,Beijing Institute of Technology,23
xuewen shi,Beijing Institute of Technology,22
zewen chi,Beijing Institute of Technology,9
yuming shang,Beijing Institute of Technology,2
dat quoc nguyen,"Senior research scientist, VinAI Research, Vietnam; Honorary fellow, The University of … ",1129
nikita moghe,"Student, University of Edinburgh ",40
jeff phillips,"Associate Professor, School of Computing, University of Utah ",2220
sunipa dev,"School of Computing, University of Utah ",19
vivek srikumar,"Assistant Professor, School of Computing, University of Utah ",2218
qingrong xia,Soochow University,20
baijun ji,Soochow University,3
yimin jing,Soochow University,2
nadia magnenat-thalmann,"University of Geneva, Nanyang Technological University, Singapore ",29414
sinno jialin pan,"Nanyang Technological University, Singapore ",16824
erik cambria,"Associate Professor, NTU Singapore ",16024
aixin sun,NTU Singapore,8838
chunyan miao,Nanyang Technological University,7248
eng siong chng,Nanyang Technological University,5357
siu cheung hui,"Associate Professor, School of Computer Engineering, Nanyang Technological University … ",5173
shafiq joty,"Assistant Professor at NTU, Senior Manager at Salesforce AI Research ",2363
rajiv bajpai,Nanyang Technology University,771
haiyun peng,Nanyang Technological University,582
liling tan,"Universität des Saarlandes, Nanyang Technological University ",550
tasnim mohiuddin,Nanyang Technological University,52
grace e. lee,"Nanyang Technological University(NTU), ",29
peixiang zhong,"PhD of Computer Science and Engineering, Nanyang Technological University ",25
han cheol moon,Nanyang Technological University,6
linlin liu,Nanyang Technological University,4
simeng han,Undergraduate Student at Nanyang Technological University,3
xuan-phi nguyen,Nanyang Technological University,1
junpei zhong,nottingham trent university,284
chantana chantrapornchai,Kasetsart University,477
peter szolovits,"Professor of Computer Science and Engineering, MIT ",13304
seung-won hwang,Yonsei University,3093
woojay jeon,"Translational Research Center for Protein Function Control, Yonsei University ",601
jongho im,Yonsei University,98
chaehan so,"Professor of Information & Interaction Design, Yonsei University ",78
jihyeok kim,Yonsei University,20
yuchi zhang,Santa Clara Univeristy,208
zhiyuan peng,Santa Clara University,6
honglak lee,Google Brain / U. Michigan,29308
jieping ye,University of Michigan & Didi Chuxing,20912
qiaozhu mei,"Professor, University of Michigan ",12373
jason mars,"Professor of Computer Science and Engineering, University of Michigan ",3910
emily mower provost,"Associate Professor of Computer Science, University of Michigan ",3664
lajanugen logeswaran,University of Michigan,1792
jonathan k. kummerfeld,"Postdoctoral Research Fellow, University of Michigan ",767
shibamouli lahiri,University of Michigan,312
tara safavi,University of Michigan,230
zakaria aldeneh,University of Michigan,218
yuki shiraito,University of Michigan,116
janarthanan rajendran,"PhD candidate, University of Michigan ",104
aparna garimella,University of Michigan,71
mimansa jaiswal,"Computer Science Graduate, University of Michigan ",52
julia mendelsohn,University of Michigan,45
cristina garbacea,University of Michigan Ann Arbor,44
karan desai,University of Michigan,26
shane storks,"Doctoral Student, University of Michigan ",17
jiaxin pei,University of Michigan,13
oana ignat,University of Michigan,6
yutong wang,"PhD Candidate, University of Michigan ",1
laura burdick,"PhD Student, University of Michigan ",59
vijay mago,Lakehead University,610
shih-fu chang,"Professor of Electrical Engineering and Computer Science, Columbia University ",54867
ruslan salakhutdinov,"UPMC Professor, Machine Learning Department, CMU ",89878
zhiting hu,"PhD Candidate of Machine Learning Department, Carnegie Mellon University ",3623
emmanouil antonios platanios,"PhD Student, Carnegie Mellon University ",769
paul pu liang,"Machine Learning Department, Carnegie Mellon University ",667
yao-hung hubert tsai,Carnegie Mellon University PhD Student,479
kenneth marino,"PhD Student in Machine Learning, Carnegie Mellon University ",313
binxuan huang,"PhD Student, Carnegie Mellon University ",163
eduard hovy,Carnegie Mellon University,40314
kathleen m. carley,"Professor, Carnegie Mellon University ",37282
alexander hauptmann,Carnegie Mellon University,22661
jamie callan,"Professor, Language Technologies Institute, Carnegie Mellon University ",12780
carolyn p. rose,"Language Technologies Institute and Human-Computer Interaction Institute, Carnegie … ",10874
carolyn penstein rose,"Language Technologies Institute and Human-Computer Interaction Institute, Carnegie … ",10874
florian metze,Carnegie Mellon University,6025
zachary c. lipton,Assistant Professor of Operations Research & Machine Learning at CMU,5683
zachary c lipton,Assistant Professor of Operations Research & Machine Learning at CMU,5683
anthony tomasic,"Consultant, Carnegie Mellon University ",5045
zihang dai,Carnegie Mellon University,2279
xuezhe ma,"Language Technologies Institute, Carnegie Mellon University ",2177
jesse dodge,Carnegie Mellon University,1969
robert frederking,Carnegie Mellon University,1959
yulia tsvetkov,Carnegie Mellon University,1926
bhuwan dhingra,"Language Technologies Institute, Carnegie Mellon University ",1263
yonatan bisk,Carnegie Mellon University,1178
pengcheng yin,Carnegie Mellon University,924
igor labutov,Carnegie Mellon University,870
guokun lai,Carnegie Mellon University,861
devendra singh chaplot,Carnegie Mellon University,860
maruan al-shedivat,Carnegie Mellon University,837
wei-cheng chang,Carnegie Mellon University,774
da-cheng juan,"Google Research, Carnegie Mellon University ",730
yichong xu,Carnegie Mellon University,710
suyoun kim,"Electrical and Computer Engineering, Carnegie Mellon University ",671
qizhe xie,"Carnegie Mellon University, Google Brain ",660
kristen c. allen,Carnegie Mellon University,619
haohan wang,"LTI, Carnegie Mellon University ",591
chaitanya ahuja,Carnegie Mellon University,487
jingzhou liu,Carnegie Mellon University,473
liye fu,Carnegie Mellon University,467
kyusong lee,"Language Technologies Institute, Carnegie Mellon University ",461
leila wehbe,Carnegie Mellon University,405
zhuyun dai,Carnegie Mellon University,378
zhisong zhang,Carnegie Mellon University,352
mariya toneva,Carnegie Mellon University,311
shrimai prabhumoye,Carnegie Mellon University,293
zi-yi dou,Carnegie Mellon University,276
harsh jhamtani,Carnegie Mellon University,251
po-yao huang,Carnegie Mellon University,240
junxian he,Carnegie Mellon University,232
oscar j. romero,"Research Project Scientist, Carnegie Mellon University ",193
shikhar vashishth,Carnegie Mellon University,191
siddharth dalmia,Carnegie Mellon University,164
shruti palaskar,Graduate Student at Carnegie Mellon University,161
shruti rijhwani,Carnegie Mellon University,145
abhilasha ravichander,Carnegie Mellon University,141
khyathi raghavi chandu,Carnegie Mellon University,141
danish pruthi,Carnegie Mellon University,127
varun gangal,Carnegie Mellon University,102
byungsoo jeon,"CSD PhD Student, Carnegie Mellon University ",101
aakanksha naik,Carnegie Mellon University,92
emaad manzoor,Carnegie Mellon University,92
shachi paul,Carnegie Mellon University,88
sandeep konam,Carnegie Mellon University,86
sushma a. akoju,Carnegie Mellon University,84
shikib mehri,Carnegie Mellon University,66
zhengbao jiang,Carnegie Mellon University,64
rogerio bonatti,Carnegie Mellon University,55
hiroaki hayashi,Carnegie Mellon University,54
guan-lin chao,Carnegie Mellon University,52
junpei zhou,Carnegie Mellon University,49
vikas raunak,Graduate Student @ CMU,48
xiaochuang han,Carnegie Mellon University,45
yong-siang shih,Carnegie Mellon University,45
vinayshekhar bannihatti kumar,Carnegie Mellon University,44
forough arabshahi,"Postdoctoral Researcher, Carnegie Mellon University ",41
mengzhou xia,Carnegie Mellon University,38
zirui wang,Carnegie Mellon University,34
kundan krishna,Carnegie Mellon University,29
keita kurita,Carnegie Mellon University,26
kaiji lu,Carnegie Mellon University,25
huiming jin,Carnegie Mellon University,22
kaixin ma,Carnegie Mellon university,21
songwei ge,Carnegie Mellon University,18
ansong ni,Carnegie Mellon University,13
krishna b. soundararajan,Carnegie Melon University,11
yulan feng,CMU,8
brendon boldt,"Master's Student, Carnegie Mellon University ",7
vidhisha balachandran,"Language Technologies Institute, Carnegie Mellon University ",7
zhichu lu,Carnegie Mellon University,5
saket dingliwal,"First Year Masters Student, Carnegie Mellon University ",4
bhavya karki,Carnegie Mellon University,3
nikita srivatsan,Carnegie Mellon University,3
maria ryskina,Carnegie Mellon University,1
deva ramanan,"Associate Professor, Robotics Institute, Carnegie Mellon University ",39112
jeffrey p. bigham,"Associate Professor, CMU HCII ",7503
gunnar a. sigurdsson,"Graduate Student, The Robotics Institute, Carnegie Mellon University ",610
divyansh kaushik,"PhD Student at Language Technologies Institute, Carnegie Mellon University ",125
bhavan jasani,"Grad student, Robotics Institute, Carnegie Mellon University ",23
maxine eskenazi,"Principal Systems Scientist, Carnegie Mellon University ",6619
yugyung lee,"Professor of Computer Science Electrical Engineering, University of Missouri - Kansas City ",4025
naveenkumar k s,"… Computing Lab, Electronics and Computer Engineering, University of Missouri-Kansas City ",48
sarkhan badirli,"PhD student, Purdue University ",22
dongxiao zhu,"Associate Professor of Computer Science, Wayne State University ",2256
erfan sadeqi azer,Researcher at Indiana University - Bloomington,68
dragomir radev,"Professor, Computer Science, Yale University ",20085
alexander r. fabbri,"PhD candidate in Computer Science, Yale University ",114
faisal shafait,"Professor, National University of Sciences and Technology (NUST) ",6827
michael l. nelson,Old Dominion University,6823
xianpei han,"Professor, Institute of Software, Chinese Academy of Sciences ",1508
hongwei zeng,"Institute of remote sensing and digital earth, CAS ",413
tingwen liu,"Associate Professor of Institute of Information Engineering, Chinese Academy of Sciences ",217
longteng guo,"Ph.D candidate, Institute of Automation of the Chinese Academy Sciences (CASIA) ",38
harish s. bhat,"Professor, University of California, Merced ",661
edward f. chang,"University of California, San Francisco ",18400
yehia massoud,"Dean of the School of Systems and Enterprises, Stevens Institute of Technology ",10154
narges razavian,New York University Medical Center,759
karen livescu,TTI-Chicago,6351
sam wiseman,TTI-Chicago,945
hugh zhang,UT Southwestern Medical Center,537
giannis karamanolakis,"Ph.D. Student, Columbia University ",26
dídac surís,"PhD student, Columbia University ",196
keyon vafa,"PhD Student, Columbia University ",29
pham ngoc phuong,The University of Danang - University of Science and Technology,43
bernardo bizzo,"Massachusetts General Hospital, Harvard Medical School ",92
chunhui guo,San Diego State University,152
ahmed magooda,PhD Student at University of Pittsburgh,111
tazin afrin,PhD Student at University of Pittsburgh,19
ben adams,Stanford Law School,12
tadahiro taniguchi,Ritsumeikan university,1618
yoshinobu hagiwara,"Lecture, Ritsumeikan University ",178
mykola pechenizkiy,Eindhoven University of Technology,7535
roland tóth,"Associate Professor, Eindhoven University of Technology ",2485
dhruv khandelwal,"PhD., Eindhoven University of Technology ",10
sam shleifer,"Student, Stanford University ",8
caiming xiong,Salesforce Research,6952
nitish shirish keskar,Salesforce Research,2220
kazuma hashimoto,Salesforce Research,899
nazneen fatema rajani,Salesforce Research,193
andy way,"ADAPT Centre, Dublin City University ",6146
henry elder,"PhD Student, ADAPT Centre, Dublin City University ",41
robik shrestha,"PhD Student, Rochester Institute of Technology ",33
allyson ettinger,University of Chicago,239
yunong shi,"PhD. candidate, University of Chicago ",115
zewei chu,University of Chicago,40
xiaoan ding,University of Chicago,23
lisa fan,University of Chicago,8
miriam hurtado bodell,"Institute for Analytical Sociology, Linköping University ",2
ji-rong wen,Renmin University of China,14675
yulei niu,Renmin University of China,139
stephen mayhew,Duolingo,220
marc dymetman,"Principal Scientist, NAVER Labs Europe ",4655
germán kruszewski,Naver Labs Europe,1935
stéphane clinchant,Naver Labs Europe,1332
hady elsahar,Researcher  Naver Labs Europe,265
alexandre bérard,Naver Labs Europe,259
shiguang shan,"Professor of Institute of Computing Technology, Chinese Academy of Sciences ",19757
ruqing zhang,"Institute of Computing Technology, Chinese Academy of Sciences ",53
zekang li,"Institute of Computing Technology, Chinese Academy of Sciences ",46
canxiang yan,Institute of Computing Technology,30
chenze shao,"Institute of Computing Technology, Chinese Academy of Sciences ",21
zhengxin yang,"PhD Student of Institute of Computing Technology, Chinese Academy of Sciences ",6
hengyi cai,"Institute of Computing Technology, Chinese Academy of Sciences ",1
emanuel lacic,Know-Center,188
philipp sadler,"Science Education Department, Harvard Smithsonian Center for Astrophysics ",7073
joseph enguehard,Babylon Health,14
e. degiuli,"Department of Physics, Ryerson University, Toronto ",593
sudip mittal,"Assistant Professor, University of North Carolina at Wilmington ",352
lawrence fulton,Texas State University,765
zhijie sasha dong,"Assistant Professor, Texas State University ",116
john whaley,UnifyID,5351
alexander mehler,"Professor of Computer Science, Goethe University Frankfurt am Main ",2373
wahed hemati,"PhD Student, Johann Wolfgang Goethe-Universität Frankfurt am Main ",107
gregory shakhnarovich,"Associate Professor, TTI-Chicago ",8086
greg shakhnarovich,"Associate Professor, TTI-Chicago ",8086
kevin gimpel,"Assistant Professor, Toyota Technological Institute at Chicago ",6413
shubham toshniwal,"Graduate Student, Toyota Technological Institute (TTIC) ",319
mingda chen,Toyota Technological Institute at Chicago,316
ruotian luo,Toyota Technological Institute at Chicago,169
pushkar shukla,Toyota Technological Institute at Chicago,112
falcon z. dai,"PhD candidate, Toyota Technological Institute at Chicago ",80
haoyue shi,"Ph.D. student, Toyota Technological Institute at Chicago ",53
ankita pasad,Toyota Technological Institute at Chicago,14
evangelos milios,"Professor of Computer Science, Dalhousie University ",42319
md rashadul hasan rakib,"Research Assistant, Faculty of Computer Science, Dalhousie University ",13
etienne lozes,ENS Cachan,769
dan goldwasser,Purdue University,1466
luke s. snyder,Purdue University,19
moshe vardi,Rice University,51598
loïc vial,Université Grenoble Alpes,73
marcely zanon boito,"PhD student, Université Grenoble Alpes ",62
raheel qader,Université Grenoble Alpes,30
william n. havard,"PhD Student, Université Grenoble Alpes ",22
stan matwin,"Dalhousie University, Halifax, Canada, Institute of Computer Science, Polish Academy of … ",11855
sri harsha dumpala,Dalhousie University,99
victor swift,"Graduate Student in Psychology, University of Toronto ",7
mathias louboutin,"PhD Student, Georgia Institute of Technology ",266
jane winters,"Professor of Medicine, Northwestern University ",9266
xinyi jiang,Northwestern University,74
kezhen chen,Northwestern University,63
yiben yang,Northwestern University,21
ahmad mel,"Ph.D. Student in Computer Science, Montpellier University ",11
jean-baptiste camps,École nationale des chartes,49
berthold reinwald,IBM Research - Almaden,4166
ishan jindal,IBM Almaden Research Center,150
linwei ye,University of Manitoba,278
david j. fleet,Google Brain; University of Toronto; Vector Institute,26591
alexander koller,"Professor of Computational Linguistics, Saarland University ",2368
mihaela vela,Saarland University,814
ekaterina lapshinova-koltunski,Saarland University,450
aditya mogadala,"Postdoc, Saarland University ",193
ekaterina arkhangelskaia,Saarland University,184
matthias lindemann,Saarland University,46
lucia donatelli,Saarland University,28
pramod rao,"Masters Student, University of Saarland ",5
lilian d. a. wanzare,"PhD student, Dep. of Computational Linguistics, Saarland University ",51
hongxia jin,Samsung Research America,2893
timothy j. o'donnell,"McGill University, Mila ",720
loren lugosch,McGill University & Mila,280
travis lacroix,Mila - Québec Artificial Intelligence Institute,28
gabriele prato,"Mila, Université de Montréal ",4
heiner stuckenschmidt,University of Mannheim,12936
simone paolo ponzetto,"Professor of Information Systems, University of Mannheim ",6611
heiko paulheim,"Professor for Data Science at University of Mannheim, Germany ",5038
goran glavas,"Assistant Professor, University of Mannheim ",1057
goran glavaš,"Assistant Professor, University of Mannheim ",1057
samuel broscheit,University of Mannheim,147
robert litschko,University of Mannheim,99
anne lauscher,University of Mannheim,95
jan portisch,University of Mannheim,43
nicolas heist,"Researcher @ Chair for Data Science, University of Mannheim ",33
anette frank,"Professor of Computational Linguistics, Heidelberg University ",3420
todor mihaylov,Heidelberg University,413
raphael schumann,Heidelberg University,21
tsz kin lam,"PhD student, Heidelberg University ",15
debjit paul,"PhD Student, Heidelberg University ",14
satya almasian,Heidelberg University,10
angel daza,"PhD Student, Heidelberg University ",10
eyal ben-david,"Department of Human Genetics, UCLA ",771
sethuraman panchanathan,"Professor of Computer Science and Engineering, Arizona State University ",8780
chitta baral,"Professor of Computer Science, Arizona State University ",8603
yoshimasa tsuruoka,The University of Tokyo,5933
yukio ohsawa,The Universitry of Tokyo,3851
tatsuya harada,The University of Tokyo,3325
issei sato,University of Tokyo,1347
edison marrese-taylor,The University of Tokyo,428
katsuhiko hayashi,The University of Tokyo,329
teruaki hayashi,"Department of Systems Innovation, School of Engineering, The University of Tokyo ",265
masaru isonuma,"Ph.D. candidate, The University of Tokyo ",53
kazutoshi shinoda,The University of Tokyo,28
shoetsu sato,"Ph.D student, the University of Tokyo ",17
arda akdemir,University of Tokyo,13
kohei uehara,The University of Tokyo,9
chiranjib sur,"Sr. Computational Scientist, Shell Technology Centre Bangalore ",290
girish k. palshikar,"TCS Research, Tata Consultancy Services Limited, Pune, India ",1185
patrick dong,Hannam University,824
mark tremayne,"Associate Professor of Communication, University of Texas, Arlington ",2179
michael kruse,Lawrence Livermore National Laboratory,304
degui zhi,"Associate Professor, University of Texas Health Science Center at Houston ",4147
yuqi si,UT Health,141
kirk roberts,"School of Biomedical Informatics, University of Texas Health Science Center ",1866
laila rasmy,UTHealth SBMI,22
chengkai li,"Professor of Computer Science and Engineering, The University of Texas at Arlington ",2834
manish munikar,University of Texas at Arlington,7
julia strout,"Lecturer, University of Wisconsin-Stout ",104
hassan kané,"… Unit, Imperial College London, Hammersmith Hospital, Du Cane Rd, London W12 ",1798
hassan kane,"… Unit, Imperial College London, Hammersmith Hospital, Du Cane Rd, London W12 ",1798
george mohler,"Associate Professor of Computer and Information Science, IUPUI ",1883
jean-francois bonastre,"professeur d'infomatique, Université d'Avignon, LIA ",6541
yannick estève,"Professor in Computer Science, University of Avignon, France ",1881
yannick esteve,"Professor in Computer Science, University of Avignon, France ",1881
georges linares,"professeur d'informatique, Université d'Avignon et des Pays de Vaucluse ",1586
georges linarès,"professeur d'informatique, Université d'Avignon et des Pays de Vaucluse ",1586
vincent labatut,Avignon Université - Laboratoire Informatique d'Avignon (LIA),1104
carlos-emiliano gonzález-gallardo,Avignon Université,78
noé cecillon,"Laboratoire Informatique d'Avignon, Avignon Université ",1
vwani roychowdhury,"Professor of Electrical and Computer Engineering, UCLA ",11808
herna viktor,University of Ottawa,1529
isuru gunasekara,University of Ottawa,7
evan crothers,University of Ottawa,1
nikhil oswal,University of Ottawa,1
florian cafiero,CNRS / Université Paris-Sorbonne,21
joakim nivre,"Professor of Computational Linguistics, Uppsala University ",17238
nazar akrami,"Associate Professor, Department of psychology, Uppsala University ",3717
gongbo tang,Ph.D. candidate at Uppsala University,170
maike paetzel,Uppsala University,91
artur kulmizev,"PhD Student, Uppsala University ",53
alex waibel,"Carnegie Mellon, KIT, Karlsruhe Institute of Technology, University of Karlsruhe ",32886
alexander waibel,"Carnegie Mellon, KIT, Karlsruhe Institute of Technology, University of Karlsruhe ",32886
mozhi zhang,"PhD student, University of Maryland ",42
hwanjo yu,POSTECH,4756
rosalind picard,MIT,59343
joshua b. tenenbaum,MIT,58166
tommi jaakkola,MIT,30759
david sontag,"Associate Professor, Massachusetts Institute of Technology ",7600
leo anthony celi,Massachusetts Institute of Technology,7320
elsa olivetti,Massachusetts Institute of Technology,2523
yonatan belinkov,"Postdoctoral Fellow, Harvard / MIT ",1606
luu anh tuan,MIT,1061
wei-ning hsu,Massachusetts Institute of Technology,770
debanjan ghosh,"Postdoctoral Associate, Massachusetts Institute of Technology ",722
jon gauthier,"Ph.D. Student, Massachusetts Institute of Technology ",563
enrico santus,Massachusetts Institute of Technology (MIT),551
noga zaslavsky,MIT,508
curtis g. northcutt,Massachusetts Institute of Technology,401
badih ghazi,MIT,344
tianxiao shen,MIT,326
dianbo liu,Harvard University/MIT,249
matthew b. a. mcdermott,"PhD Student, Massachusetts Institute of Technology ",208
prashanth vijayaraghavan,MIT,205
seunghak yu,Massachusetts Institute of Technology,184
yevgeni berzak,MIT,180
tianxing he,MIT,159
andrew rouditchenko,MIT,130
alana marzoev,MIT,63
cheng-i lai,Massachusetts Institute of Technology,60
yujia bao,Massachusetts Institute of Technology,59
moin nadeem,Massachusetts Institute of Technology,54
hussein mozannar,Massachusetts Institute of Technology,48
paul azunre,"Postdoctoral Researcher, Massachusetts Institute of Technology ",23
zhongxia yan,Massachusetts Institute of Technology,14
meilin zhan,"Ph.D. student, Massachusetts Institute of Technology ",8
candace ross,"Graduate Student at Massachusetts Institute of Technology, CBMM ",8
jonathan s. rosenfeld,"PhD candidate, Computer Science, MIT ",3
angie boggust,Massachusetts Institute of Technology,1
xingquan zhu,Florida Atlantic University,14356
subutai ahmad,Numenta,6635
gaël de chalendar,CEA LIST,399
sara meftah,CEA List,21
soujanya poria,"Assistant Professor, Singapore University of Technology and Design ",7353
kwan hui lim,"Assistant Professor, Singapore University of Technology and Design ",692
zhanming jie,Phd @ Singapore University of Technology and Design,104
shuailong liang,Singapore University of Technology and Design,95
guoshun nan,Singapore University of Technology and Design,91
serhad sarica,"PhD Candidate, Singapore University of Technology and Design ",31
junhua liu,Singapore University of Technology and Design,22
yew ken chia,Singapore University of Technology and Design,12
deepanway ghosal,SUTD Singapore,132
gwenaelle cunha sergio,Kyungpook National University,6
chao shao,Henan University of Economics and Law,216
katherine metcalf,"Assistant Professor of Geology, California State University, Fullerton ",75
zhenyu xuan,University of Texas at Dallas,16102
jiacheng huang,University of Texas at Dallas,200
soumil mandal,"Student of Computer Science, UT Dallas ",45
hongyuan zha,"College of Computing, Georgia Institute of Technology ",22755
simone brugiapaglia,"Department of Mathematics and Statistics, Concordia University ",127
mikio nakano,"Honda Research Institute Japan Co., Ltd. ",2390
chunhua liu,"Associate Professor, City University of Hong Kong ",5492
chunyu kit,City University of Hong Kong,1986
ka-chun wong,"City University of Hong Kong, University of Toronto ",1343
liming deng,City University of Hong Kong,46
hadrien van lierde,"Hong Kong PhD Fellow, City University of Hong Kong ",25
tommy w. s. chow,"Professor of Electronic Engineering, City University of Hong Kong ",8290
antoni b. chan,"Associate Professor of Computer Science, City University of Hong Kong ",6842
qingzhong wang,"Department of Computer Science, City University of Hong Kong ",50
siddharth gururani,Georgia Tech Center for Music Technology,74
doina precup,DeepMind and McGill University,12742
renato de mori,Mc Gill University,9906
jackie chi kit cheung,McGill University,877
kian kenyon-dean,McGill University,36
matt grenander,"Master's Student, McGill University ",1
adil rajput,Effat University,334
livio baldini soares,"Google Research @ NYC, Google ",1493
antoine gourru,"Phd student, Université Lumière Lyon 2 ",12
robin brochier,"Université de Lyon, Lyon 2, ERIC EA3083 ",28
dina demner-fushman,National Library of Medicine,6738
rezarta islamaj,"National Center for Biotechnology Information, National Library of Medicine, National … ",2019
asma ben abacha,"Lister Hill Center, US National Library of Medicine ",973
jingxuan yang,University of Oklahoma Health Sciences Center,2470
yueting zhuang,"Professor of Computer Science, Zhejiang University ",11630
mingli song,"Full Professor of Computer Science, Zhejiang University ",7746
hongtao lin,Zhejiang University,2281
zhuoren jiang,Zhejiang University,194
hongyang xue,Zhejiang University,169
di weng,"State Key Lab of CAD&CG, Zhejiang University ",124
xiaozhao wang,Zhejiang University,113
boyuan pan,Zhejiang University,104
xinwei geng,zhejiang University,87
shumin deng,Zhejiang University,66
leilei gan,Zhejiang University,30
cunxiang wang,Westlake University & Zhejiang University,6
chengqi deng,Zhejiang University,1
rachsuda jiamthapthaksin,Assumption University,203
haoyu sheng,Williams College,8
paul tupper,"Professor of Mathematics, Simon Fraser University ",517
manolis savva,Simon Fraser University,4550
pooya moradi,MSc Student at Simon Fraser University,24
mckenzie braley,Simon Fraser University,14
kenichi matsumoto,NAIST,6505
katsuhito sudoh,Nara Institute of Science and Technology (NAIST),1168
koichiro yoshino,"Graduate School of Information Scitence, NAIST ",664
hiroyuki shindo,NAIST,607
andros tjandra,Nara Institute of Science and Technology,368
hayate iso,Nara Institute of Science and Technology,41
rungroj maipradit,"Software Engineering Laboratory, Nara Institute of Science and Technology ",15
johanes effendi,Nara Institute of Science and Technology,3
ruijiang li,Beijing Institute of Radiation Medicine,29
monojit choudhury,"Principal Researcher, Microsoft Research Lab India ",2007
kalika bali,"Researcher, Microsoft Research Labs India ",1276
sunayana sitaram,Microsoft Research India,321
michalis faloutsos,UC Riverside,22313
zizhong chen,"University of California, Riverside ",2762
amirali abdolrashidi,"PhD Candidate, University of California, Riverside ",293
joobin gharibshah,University of California Riverside,172
bridget t. mcinnes,Virginia Commonwealth University,1183
emily goodwin,"Faculty, Virginia Commonwealth University ",428
ian calloway,"Graduate Student, University of Michigan ",15
xiaozhong liu,"School of Informatics and Computing, Indiana University Bloomington ",909
yong-yeol ahn,"Associate Professor of Informatics, Indiana University Bloomington ",10328
julien velcin,"Professor of Computer Science, Université de Lyon ",728
wanxiang che,Professor of Harbin Institute of Technology,3356
buzhou tang,"Jilin University, Harbin Insititute of Technology, Vanderbilt University, University of Texas ",1782
xiaocheng feng,Harbin Institute of Technology,767
junwen duan,Harbin Institute of Technology,623
hangbo bao,Harbin Institute of Technology,136
shaolei wang,Harbin Institute of Technology,62
yutai hou,Harbin Institute of Technology,41
zhangyin feng,Harbin Institute of Technology,25
libo qin,Harbin Institute of Technology,24
tianwen jiang,Harbin Institute of Technology,20
yiheng xu,Harbin Institute of Technology,3
wlodek zadrozny,Prof. UNC Charlotte; previously IBM Research,7361
victor zitian chen,University of North Carolina at Charlotte,916
sashank santhanam,"PhD Candidate, UNC Charlotte ",57
armin seyeditabari,PhD student University of North Carolina at Charlotte,49
shafie gholizadeh,"PhD student, University of North Carolina at Charlotte ",17
sai krishna telukuntla,Student at University of North Carolina at Charlotte,1
zhenglu yang,"Nankai University, Professor ",1245
fei sha,"Associate Professor of Computer Science, U. of Southern California ",12325
julian mcauley,"Associate Professor, UC San Diego ",9765
taylor berg-kirkpatrick,University of California San Diego,2266
ndapa nakashole,"Assistant Professor, University of California, San Diego ",1632
r. stuart geiger,"University of California, San Diego ",1606
pengtao xie,UC San Diego,1562
jingbo shang,"Assistant Professor, UC San Diego ",1275
thomas bachlechner,Postdoctoral Researcher at UCSD,445
sean trott,"Graduate Student, UC San Diego ",84
nikolai vogler,"Graduate Student, UC San Diego ",62
liliang ren,"University of California, San Diego ",54
huanru henry mao,"University of California, San Diego ",52
khalil mrini,"PhD Student, NLP Group, University of California, San Diego ",20
